leader,epoch,num_slots
DRpbCBMxVnDK7maPM5tGv6MvB3v1sRMC86PZ8okm21hy,668,6388
2GUnfxZavKoPfS9s3VSEjaWDzB3vNf5RojUhprCS1rSx,668,2792
HJQQFTic2nom954XggPikG7e9jy3LzQqyZLsLaprhpST,668,36
tPTMVvqGgzecHLQKHUhoXR8UFuZrFzz9UKK4ywVdLaZ,668,240
76rcGHdPvgs8G1XrzCXUTWtwgT59AFDvpB4VbTS2TBBJ,668,2872
2RwFJJkhr4tCTuQnZN1CFpAtn5s9pTzakagvu326W1FT,668,316
4ZUdaCPz4t1gJK6bFN2YdG6BDfxZ3ApvGMiQUmKPPtny,668,136
B4dn3WWS95M4qNXaR5NTdkNzhzvTZVqC13E3eLrWhXLa,668,336
EqxCV4fz2unNzt8ydGrVyz24ngkH5n13x2wDSJ8DY6qi,668,36
J2895yqMc1JqrWPQ2ryDPn7EbozZpAoCCPTy3BDUME9m,668,36
1MuaDGhuN7KRqvsupUcYmq9u1YRh1pp38hu1WV2WC6S,668,12
31aq3x48y7Q6QvH6WbVmzKxsyJfN7bq2bjgbJXTWkL9r,668,88
7b7VuKUv1NCDhbdvufkTKCV5kpzyc5yH4A7YKMUjykX2,668,40
